time	V(N001,N002)	V(N002,N003)
4.432660839993284e-03	8.483871e-01	1.357711e-01
4.442426464993284e-03	8.497084e-01	1.349891e-01
4.452192089993283e-03	8.510219e-01	1.342056e-01
4.453412793118283e-03	8.511856e-01	1.341076e-01
4.455854199368284e-03	8.515125e-01	1.339114e-01
4.460737011868283e-03	8.521650e-01	1.335187e-01
4.470502636868283e-03	8.534642e-01	1.327321e-01
4.480268261868283e-03	8.547557e-01	1.319439e-01
4.481488964993283e-03	8.549166e-01	1.318453e-01
4.483930371243283e-03	8.552380e-01	1.316480e-01
4.488813183743283e-03	8.558794e-01	1.312530e-01
4.498578808743283e-03	8.571565e-01	1.304619e-01
4.508344433743283e-03	8.584259e-01	1.296692e-01
4.518110058743282e-03	8.596874e-01	1.288749e-01
4.527875683743282e-03	8.609412e-01	1.280792e-01
4.537641308743282e-03	8.621873e-01	1.272818e-01
4.538862011868282e-03	8.623424e-01	1.271821e-01
4.541303418118282e-03	8.626525e-01	1.269825e-01
4.546186230618282e-03	8.632711e-01	1.265830e-01
4.555951855618282e-03	8.645025e-01	1.257829e-01
4.565717480618282e-03	8.657261e-01	1.249812e-01
4.575483105618281e-03	8.669419e-01	1.241781e-01
4.585248730618281e-03	8.681498e-01	1.233734e-01
4.595014355618281e-03	8.693498e-01	1.225674e-01
4.604779980618281e-03	8.705420e-01	1.217598e-01
4.614545605618281e-03	8.717262e-01	1.209508e-01
4.624311230618280e-03	8.729026e-01	1.201404e-01
4.634076855618280e-03	8.740710e-01	1.193286e-01
4.643842480618280e-03	8.752315e-01	1.185153e-01
4.653608105618280e-03	8.763840e-01	1.177007e-01
4.663373730618280e-03	8.775286e-01	1.168846e-01
4.673139355618279e-03	8.786652e-01	1.160672e-01
4.682904980618279e-03	8.797938e-01	1.152484e-01
4.692670605618279e-03	8.809144e-01	1.144282e-01
4.702436230618279e-03	8.820270e-01	1.136067e-01
4.712201855618279e-03	8.831316e-01	1.127838e-01
4.721967480618278e-03	8.842281e-01	1.119596e-01
4.731733105618278e-03	8.853166e-01	1.111341e-01
4.741498730618278e-03	8.863969e-01	1.103073e-01
4.751264355618278e-03	8.874693e-01	1.094791e-01
4.761029980618278e-03	8.885335e-01	1.086497e-01
4.770795605618277e-03	8.895896e-01	1.078190e-01
4.780561230618277e-03	8.906376e-01	1.069871e-01
4.790326855618277e-03	8.916774e-01	1.061539e-01
4.791547558743277e-03	8.918068e-01	1.060497e-01
4.793988964993277e-03	8.920652e-01	1.058412e-01
4.798871777493277e-03	8.925806e-01	1.054238e-01
4.808637402493277e-03	8.936052e-01	1.045883e-01
4.818403027493277e-03	8.946215e-01	1.037515e-01
4.828168652493276e-03	8.956298e-01	1.029135e-01
4.837934277493276e-03	8.966299e-01	1.020743e-01
4.847699902493276e-03	8.976217e-01	1.012339e-01
4.857465527493276e-03	8.986053e-01	1.003923e-01
4.867231152493275e-03	8.995807e-01	9.954954e-02
4.876996777493275e-03	9.005479e-01	9.870560e-02
4.886762402493275e-03	9.015068e-01	9.786051e-02
4.896528027493275e-03	9.024575e-01	9.701427e-02
4.906293652493275e-03	9.033998e-01	9.616689e-02
4.916059277493274e-03	9.043339e-01	9.531838e-02
4.925824902493274e-03	9.052597e-01	9.446877e-02
4.935590527493274e-03	9.061773e-01	9.361804e-02
4.945356152493274e-03	9.070864e-01	9.276621e-02
4.955121777493274e-03	9.079873e-01	9.191331e-02
4.964887402493273e-03	9.088799e-01	9.105931e-02
4.974653027493273e-03	9.097641e-01	9.020426e-02
4.984418652493273e-03	9.106399e-01	8.934816e-02
4.994184277493273e-03	9.115074e-01	8.849100e-02
4.995404980618273e-03	9.116151e-01	8.838385e-02
4.997846386868273e-03	9.118304e-01	8.816937e-02
5.002729199368273e-03	9.122594e-01	8.774021e-02
5.012494824368273e-03	9.131112e-01	8.688112e-02
5.022260449368272e-03	9.139546e-01	8.602101e-02
5.032026074368272e-03	9.147895e-01	8.515990e-02
5.041791699368272e-03	9.156160e-01	8.429779e-02
5.051557324368272e-03	9.164341e-01	8.343469e-02
5.061322949368272e-03	9.172438e-01	8.257062e-02
5.062543652493271e-03	9.173443e-01	8.246261e-02
5.064985058743272e-03	9.175452e-01	8.224641e-02
5.069867871243272e-03	9.179453e-01	8.181383e-02
5.079633496243271e-03	9.187391e-01	8.094795e-02
5.089399121243271e-03	9.195245e-01	8.008112e-02
5.099164746243271e-03	9.203014e-01	7.921336e-02
5.108930371243271e-03	9.210699e-01	7.834467e-02
5.118695996243271e-03	9.218297e-01	7.747505e-02
5.128461621243270e-03	9.225812e-01	7.660453e-02
5.138227246243270e-03	9.233242e-01	7.573312e-02
5.147992871243270e-03	9.240586e-01	7.486081e-02
5.157758496243270e-03	9.247845e-01	7.398762e-02
5.167524121243269e-03	9.255018e-01	7.311357e-02
5.177289746243269e-03	9.262106e-01	7.223866e-02
5.187055371243269e-03	9.269109e-01	7.136289e-02
5.196820996243269e-03	9.276026e-01	7.048629e-02
5.206586621243269e-03	9.282858e-01	6.960886e-02
5.216352246243268e-03	9.289604e-01	6.873062e-02
5.226117871243268e-03	9.296264e-01	6.785156e-02
5.235883496243268e-03	9.302838e-01	6.697170e-02
5.245649121243268e-03	9.309326e-01	6.609105e-02
5.255414746243268e-03	9.315728e-01	6.520962e-02
5.265180371243267e-03	9.322044e-01	6.432742e-02
5.274945996243267e-03	9.328274e-01	6.344447e-02
5.284711621243267e-03	9.334417e-01	6.256075e-02
5.294477246243267e-03	9.340475e-01	6.167631e-02
5.304242871243267e-03	9.346445e-01	6.079113e-02
5.314008496243266e-03	9.352329e-01	5.990523e-02
5.323774121243266e-03	9.358127e-01	5.901862e-02
5.333539746243266e-03	9.363838e-01	5.813130e-02
5.343305371243266e-03	9.369463e-01	5.724330e-02
5.353070996243266e-03	9.375000e-01	5.635461e-02
5.354291699368265e-03	9.375685e-01	5.624355e-02
5.356733105618266e-03	9.377053e-01	5.602125e-02
5.361615918118266e-03	9.379774e-01	5.557653e-02
5.362836621243265e-03	9.380450e-01	5.546539e-02
5.365278027493266e-03	9.381799e-01	5.524294e-02
5.370160839993266e-03	9.384481e-01	5.479793e-02
5.379926464993265e-03	9.389780e-01	5.390742e-02
5.381147168118265e-03	9.390435e-01	5.379613e-02
5.383588574368266e-03	9.391744e-01	5.357338e-02
5.388471386868265e-03	9.394343e-01	5.312776e-02
5.398237011868265e-03	9.399479e-01	5.223604e-02
