Freq.	V(n003)
2.05352502645717e+04	(3.83859109564911e+00dB,-1.24613350050431e+02°)
2.11348903983667e+04	(3.05063984114404e+00dB,-1.29323666416855e+02°)
2.17520403401955e+04	(2.24232754727891e+00dB,-1.33496304340891e+02°)
2.23872113856836e+04	(1.42624173954552e+00dB,-1.37183801786821e+02°)
2.30409297605587e+04	(6.11276112709571e-01dB,-1.40442771116165e+02°)
2.37137370566168e+04	(-1.96584699913750e-01dB,-1.43328079128386e+02°)
2.44061906804201e+04	(-9.93521852384850e-01dB,-1.45889903154952e+02°)
2.51188643150961e+04	(-1.77726801953950e+00dB,-1.48172597029429e+02°)
2.58523483956222e+04	(-2.54663587625432e+00dB,-1.50214579340481e+02°)
2.66072505979884e+04	(-3.30117181356280e+00dB,-1.52048735533454e+02°)
2.73841963426439e+04	(-4.04090868535650e+00dB,-1.53703034077606e+02°)
2.81838293126448e+04	(-4.76619258155285e+00dB,-1.55201193131526e+02°)
2.90068119869319e+04	(-5.47756314089392e+00dB,-1.56563316063295e+02°)
2.98538261891799e+04	(-6.17567181306786e+00dB,-1.57806460537152e+02°)
3.07255736526748e+04	(-6.86122668041644e+00dB,-1.58945130642952e+02°)
3.16227766016841e+04	(-7.53495571390187e+00dB,-1.59991693866011e+02°)
3.25461783498050e+04	(-8.19758274796448e+00dB,-1.60956730145764e+02°)
3.34965439157831e+04	(-8.84981218729789e+00dB,-1.61849322094472e+02°)
3.44746606573153e+04	(-9.49231967755656e+00dB,-1.62677295464715e+02°)
3.54813389233580e+04	(-1.01257468235474e+01dB,-1.63447418159172e+02°)
3.65174127254842e+04	(-1.07506986302578e+01dB,-1.64165564989322e+02°)
3.75837404288449e+04	(-1.13677427523821e+01dB,-1.64836854271307e+02°)
3.86812054633057e+04	(-1.19774099222876e+01dB,-1.65465761315900e+02°)
3.98107170553502e+04	(-1.25801951233659e+01dB,-1.66056212970159e+02°)
4.09732109813546e+04	(-1.31765592123257e+01dB,-1.66611666608537e+02°)
4.21696503428587e+04	(-1.37669307887826e+01dB,-1.67135176341499e+02°)
4.34010263644749e+04	(-1.43517081762912e+01dB,-1.67629448693958e+02°)
4.46683592150968e+04	(-1.49312614246198e+01dB,-1.68096889586359e+02°)
4.59726988530878e+04	(-1.55059342746906e+01dB,-1.68539644111525e+02°)
4.73151258961486e+04	(-1.60760460494552e+01dB,-1.68959630325720e+02°)
4.86967525165869e+04	(-1.66418934489953e+01dB,-1.69358568050479e+02°)
5.01187233627278e+04	(-1.72037522383801e+01dB,-1.69738003502339e+02°)
5.15822165072312e+04	(-1.77618788237223e+01dB,-1.70099330422392e+02°)
5.30884444230995e+04	(-1.83165117164520e+01dB,-1.70443808259771e+02°)
5.46386549881861e+04	(-1.88678728887818e+01dB,-1.70772577867454e+02°)
5.62341325190356e+04	(-1.94161690251649e+01dB,-1.71086675090755e+02°)
5.78761988349128e+04	(-1.99615926755993e+01dB,-1.71387042565111e+02°)
5.95662143529018e+04	(-2.05043233171493e+01dB,-1.71674539987546e+02°)
6.13055792149828e+04	(-2.10445283302201e+01dB,-1.71949953083254e+02°)
6.30957344480201e+04	(-2.15823638960456e+01dB,-1.72214001453366e+02°)
6.49381631576219e+04	(-2.21179758216270e+01dB,-1.72467345460691e+02°)
6.68343917568623e+04	(-2.26515002980419e+01dB,-1.72710592285987e+02°)
6.87859912308816e+04	(-2.31830645976797e+01dB,-1.72944301267095e+02°)
7.07945784384147e+04	(-2.37127877155679e+01dB,-1.73168988616479e+02°)
7.28618174513237e+04	(-2.42407809595637e+01dB,-1.73385131598610e+02°)
7.49894209332466e+04	(-2.47671484937983e+01dB,-1.73593172236794e+02°)
7.71791515585022e+04	(-2.52919878393980e+01dB,-1.73793520609148e+02°)
7.94328234724292e+04	(-2.58153903361546e+01dB,-1.73986557784984e+02°)
8.17523037943661e+04	(-2.63374415684985e+01dB,-1.74172638445799e+02°)
8.41395141645206e+04	(-2.68582217588247e+01dB,-1.74352093229031e+02°)
8.65964323360077e+04	(-2.73778061309517e+01dB,-1.74525230827610e+02°)
8.91250938133757e+04	(-2.78962652462348e+01dB,-1.74692339873988e+02°)
9.17275935389792e+04	(-2.84136653146322e+01dB,-1.74853690633564e+02°)
9.44060876285936e+04	(-2.89300684828087e+01dB,-1.75009536529255e+02°)
9.71627951577119e+04	(-2.94455331011744e+01dB,-1.75160115516187e+02°)
1.00000000000000e+05	(-2.99601139715818e+01dB,-1.75305651323118e+02°)
