time	V(X,Y)
2.913190697916206e-04	-6.568432e-05
2.918073510416206e-04	-8.690357e-05
2.922956322916206e-04	-1.047850e-04
2.927839135416206e-04	-1.200438e-04
2.932721947916206e-04	-1.325607e-04
2.937604760416206e-04	-1.425743e-04
2.942487572916206e-04	-1.504421e-04
2.947370385416206e-04	-1.561642e-04
2.952253197916206e-04	-1.599789e-04
2.957136010416206e-04	-1.621246e-04
2.962018822916206e-04	-1.627207e-04
2.966901635416206e-04	-1.618862e-04
2.971784447916206e-04	-1.599789e-04
2.976667260416206e-04	-1.568794e-04
2.981550072916206e-04	-1.528263e-04
2.986432885416206e-04	-1.479387e-04
2.991315697916206e-04	-1.423359e-04
2.996198510416206e-04	-1.361370e-04
3.000000010000000e-04	-1.307726e-04
3.000000020000000e-04	-7.579875e-01
3.000000179999999e-04	-7.580163e-01
3.000000499999998e-04	-7.580737e-01
3.000001139999995e-04	-7.581886e-01
3.000002419999990e-04	-7.584185e-01
3.000004979999980e-04	-7.588783e-01
3.000010099999959e-04	-7.597976e-01
3.000020339999918e-04	-7.616359e-01
3.000040819999837e-04	-7.653112e-01
3.000081779999673e-04	-7.726564e-01
3.000163699999346e-04	-7.873257e-01
3.000327539998691e-04	-8.165796e-01
3.000655219997382e-04	-8.747493e-01
3.001310579994763e-04	-9.897426e-01
3.002621299989526e-04	-1.214400e+00
3.005242739979051e-04	-1.642838e+00
3.010125552479051e-04	-2.369551e+00
3.015008364979051e-04	-3.007974e+00
3.019891177479051e-04	-3.563866e+00
3.024773989979051e-04	-4.042831e+00
3.029656802479051e-04	-4.450303e+00
3.034539614979051e-04	-4.791533e+00
3.039422427479051e-04	-5.071582e+00
3.044305239979051e-04	-5.295311e+00
3.049188052479051e-04	-5.467380e+00
3.054070864979051e-04	-5.592239e+00
3.058953677479051e-04	-5.674129e+00
3.063836489979051e-04	-5.717080e+00
3.068719302479051e-04	-5.724912e+00
3.073602114979051e-04	-5.701236e+00
3.078484927479051e-04	-5.649457e+00
3.083367739979051e-04	-5.572774e+00
3.088250552479051e-04	-5.474189e+00
3.093133364979051e-04	-5.356509e+00
3.098016177479051e-04	-5.222352e+00
3.102898989979051e-04	-5.074148e+00
3.107781802479051e-04	-4.914156e+00
3.112664614979051e-04	-4.744458e+00
3.117547427479051e-04	-4.566974e+00
3.122430239979051e-04	-4.383465e+00
3.127313052479051e-04	-4.195542e+00
3.132195864979051e-04	-4.004671e+00
3.137078677479051e-04	-3.812182e+00
3.141961489979051e-04	-3.619276e+00
3.146844302479051e-04	-3.427031e+00
3.151727114979051e-04	-3.236408e+00
3.156609927479051e-04	-3.048259e+00
3.161492739979051e-04	-2.863339e+00
3.166375552479051e-04	-2.682300e+00
3.171258364979051e-04	-2.505711e+00
3.176141177479051e-04	-2.334055e+00
3.181023989979051e-04	-2.167740e+00
3.185906802479051e-04	-2.007101e+00
3.190789614979051e-04	-1.852410e+00
3.195672427479051e-04	-1.703878e+00
3.200555239979051e-04	-1.561659e+00
3.205438052479051e-04	-1.425860e+00
3.210320864979051e-04	-1.296542e+00
3.215203677479051e-04	-1.173722e+00
3.220086489979051e-04	-1.057385e+00
3.224969302479051e-04	-9.474792e-01
3.229852114979051e-04	-8.439252e-01
3.234734927479051e-04	-7.466173e-01
3.239617739979051e-04	-6.554278e-01
3.244500552479051e-04	-5.702091e-01
3.249383364979051e-04	-4.907971e-01
3.254266177479051e-04	-4.170135e-01
3.259148989979051e-04	-3.486686e-01
3.264031802479051e-04	-2.855630e-01
3.268914614979051e-04	-2.274901e-01
3.273797427479051e-04	-1.742379e-01
3.278680239979051e-04	-1.255904e-01
3.283563052479051e-04	-8.132950e-02
3.288445864979051e-04	-4.123622e-02
3.293328677479051e-04	-5.092047e-03
3.298211489979051e-04	2.731999e-02
3.303094302479051e-04	5.621431e-02
3.307977114979051e-04	8.180189e-02
3.312859927479051e-04	1.042895e-01
3.317742739979051e-04	1.238789e-01
3.322625552479051e-04	1.407667e-01
3.327508364979051e-04	1.551432e-01
3.332391177479051e-04	1.671926e-01
3.337273989979051e-04	1.770924e-01
3.342156802479051e-04	1.850130e-01
3.347039614979051e-04	1.911178e-01
3.351922427479051e-04	1.955630e-01
3.356805239979051e-04	1.984973e-01
3.361688052479051e-04	2.000623e-01
3.366570864979051e-04	2.003918e-01
3.371453677479051e-04	1.996127e-01
3.376336489979051e-04	1.978444e-01
3.381219302479051e-04	1.951994e-01
3.386102114979051e-04	1.917829e-01
3.390984927479051e-04	1.876935e-01
3.395867739979051e-04	1.830232e-01
3.400750552479051e-04	1.778574e-01
3.405633364979051e-04	1.722754e-01
3.410516177479051e-04	1.663503e-01
3.415398989979051e-04	1.601496e-01
3.420281802479051e-04	1.537353e-01
3.425164614979051e-04	1.471639e-01
3.430047427479051e-04	1.404870e-01
3.434930239979051e-04	1.337513e-01
3.439813052479051e-04	1.269992e-01
3.444695864979051e-04	1.202685e-01
3.449578677479051e-04	1.135930e-01
3.454461489979051e-04	1.070029e-01
3.459344302479051e-04	1.005245e-01
3.464227114979051e-04	9.418104e-02
3.469109927479051e-04	8.799241e-02
3.473992739979051e-04	8.197571e-02
3.478875552479051e-04	7.614533e-02
3.483758364979051e-04	7.051312e-02
3.488641177479051e-04	6.508869e-02
3.493523989979051e-04	5.987950e-02
3.498406802479051e-04	5.489109e-02
3.503289614979051e-04	5.012724e-02
3.508172427479051e-04	4.559014e-02
3.513055239979051e-04	4.128054e-02
3.517938052479051e-04	3.719785e-02
3.522820864979051e-04	3.334039e-02
3.527703677479051e-04	2.970540e-02
3.532586489979051e-04	2.628923e-02
3.537469302479051e-04	2.308744e-02
3.542352114979051e-04	2.009489e-02
3.547234927479051e-04	1.730587e-02
3.552117739979051e-04	1.471415e-02
3.557000552479051e-04	1.231312e-02
3.561883364979051e-04	1.009581e-02
3.566766177479051e-04	8.054995e-03
3.571648989979051e-04	6.183267e-03
3.576531802479051e-04	4.473071e-03
3.581414614979051e-04	2.916774e-03
3.586297427479051e-04	1.506712e-03
3.591180239979051e-04	2.352362e-04
3.596063052479051e-04	-9.052521e-04
3.600945864979051e-04	-1.922262e-03
