time	I(L1)
1.864617739979052e-04	-3.220423e-06
1.869500552479052e-04	-3.343612e-06
1.874383364979052e-04	-3.436061e-06
1.879266177479052e-04	-3.500472e-06
1.884148989979052e-04	-3.539417e-06
1.889031802479052e-04	-3.555334e-06
1.893914614979052e-04	-3.550535e-06
1.898797427479052e-04	-3.527199e-06
1.903680239979052e-04	-3.487379e-06
1.908563052479052e-04	-3.433004e-06
1.913445864979052e-04	-3.365879e-06
1.918328677479052e-04	-3.287691e-06
1.923211489979052e-04	-3.200008e-06
1.928094302479052e-04	-3.104288e-06
1.932977114979052e-04	-3.001882e-06
1.937859927479052e-04	-2.894033e-06
1.942742739979052e-04	-2.781885e-06
1.947625552479052e-04	-2.666487e-06
1.952508364979052e-04	-2.548796e-06
1.957391177479052e-04	-2.429682e-06
1.962273989979052e-04	-2.309930e-06
1.967156802479052e-04	-2.190249e-06
1.972039614979052e-04	-2.071274e-06
1.976922427479052e-04	-1.953569e-06
1.981805239979052e-04	-1.837633e-06
1.986688052479052e-04	-1.723903e-06
1.991570864979052e-04	-1.612760e-06
1.996453677479052e-04	-1.504531e-06
2.000000000000000e-04	-1.427906e-06
2.000000010000000e-04	-1.426769e-06
2.000000169999999e-04	-1.414639e-06
2.000000304019416e-04	-1.404479e-06
2.000000456223429e-04	-1.392940e-06
2.000000760631456e-04	-1.369860e-06
2.000001369447508e-04	-1.323696e-06
2.000002587079613e-04	-1.231348e-06
2.000005022343822e-04	-1.046571e-06
2.000009892872241e-04	-6.766986e-07
2.000019633929078e-04	6.432413e-08
2.000039116042753e-04	1.551479e-06
2.000078080270103e-04	4.546214e-06
2.000156008724803e-04	1.061729e-05
2.000311865634203e-04	2.308513e-05
2.000623579453003e-04	4.931757e-05
2.001247007090604e-04	1.069220e-04
2.002493862365804e-04	2.423121e-04
2.004987572916205e-04	5.908548e-04
2.009870385416205e-04	1.551873e-03
2.014753197916205e-04	2.848433e-03
2.019636010416205e-04	4.438682e-03
2.024518822916205e-04	6.283548e-03
2.029401635416205e-04	8.346656e-03
2.034284447916205e-04	1.059425e-02
2.039167260416205e-04	1.299508e-02
2.044050072916205e-04	1.552034e-02
2.048932885416205e-04	1.814356e-02
2.053815697916205e-04	2.084047e-02
2.058698510416205e-04	2.358896e-02
2.063581322916205e-04	2.636892e-02
2.068464135416205e-04	2.916217e-02
2.073346947916205e-04	3.195237e-02
2.078229760416205e-04	3.472486e-02
2.083112572916205e-04	3.746662e-02
2.087995385416205e-04	4.016615e-02
2.092878197916205e-04	4.281338e-02
2.097761010416205e-04	4.539954e-02
2.102643822916205e-04	4.791712e-02
2.107526635416205e-04	5.035976e-02
2.112409447916205e-04	5.272215e-02
2.117292260416205e-04	5.499999e-02
2.122175072916205e-04	5.718984e-02
2.127057885416205e-04	5.928913e-02
2.131940697916205e-04	6.129602e-02
2.136823510416205e-04	6.320935e-02
2.141706322916205e-04	6.502859e-02
2.146589135416205e-04	6.675380e-02
2.151471947916205e-04	6.838549e-02
2.156354760416205e-04	6.992464e-02
2.161237572916205e-04	7.137263e-02
2.166120385416205e-04	7.273117e-02
2.171003197916205e-04	7.400228e-02
2.175886010416205e-04	7.518826e-02
2.180768822916205e-04	7.629158e-02
2.185651635416205e-04	7.731493e-02
2.190534447916205e-04	7.826114e-02
2.195417260416205e-04	7.913318e-02
2.200300072916205e-04	7.993406e-02
2.205182885416205e-04	8.066691e-02
2.210065697916205e-04	8.133486e-02
2.214948510416205e-04	8.194109e-02
2.219831322916205e-04	8.248877e-02
2.224714135416205e-04	8.298104e-02
2.229596947916205e-04	8.342104e-02
2.234479760416205e-04	8.381185e-02
2.239362572916205e-04	8.415648e-02
2.244245385416205e-04	8.445788e-02
2.249128197916205e-04	8.471894e-02
2.254011010416205e-04	8.494246e-02
2.258893822916205e-04	8.513115e-02
2.263776635416205e-04	8.528760e-02
2.268659447916205e-04	8.541434e-02
2.273542260416205e-04	8.551378e-02
2.278425072916205e-04	8.558822e-02
2.283307885416205e-04	8.563987e-02
2.288190697916205e-04	8.567081e-02
2.293073510416205e-04	8.568306e-02
2.297956322916205e-04	8.567845e-02
2.302839135416205e-04	8.565880e-02
2.307721947916205e-04	8.562575e-02
2.312604760416205e-04	8.558090e-02
2.317487572916205e-04	8.552569e-02
2.322370385416205e-04	8.546151e-02
2.327253197916205e-04	8.538964e-02
2.332136010416205e-04	8.531125e-02
2.337018822916205e-04	8.522745e-02
2.341901635416205e-04	8.513924e-02
2.346784447916205e-04	8.504757e-02
2.351667260416205e-04	8.495329e-02
2.356550072916205e-04	8.485715e-02
2.361432885416205e-04	8.475988e-02
2.366315697916205e-04	8.466213e-02
2.371198510416205e-04	8.456445e-02
2.376081322916205e-04	8.446737e-02
2.380964135416205e-04	8.437134e-02
2.385846947916205e-04	8.427678e-02
2.390729760416205e-04	8.418403e-02
2.395612572916205e-04	8.409340e-02
2.400495385416205e-04	8.400516e-02
2.405378197916205e-04	8.391954e-02
2.410261010416205e-04	8.383672e-02
2.415143822916205e-04	8.375685e-02
2.420026635416205e-04	8.368005e-02
2.424909447916205e-04	8.360642e-02
2.429792260416205e-04	8.353602e-02
2.434675072916205e-04	8.346890e-02
2.439557885416205e-04	8.340506e-02
