Freq.	V(n006)
1.09908174771524e+03	(-7.21944115911999e-01dB,-4.46348689409789e+00°)
1.12468265038069e+03	(-7.29950428491579e-01dB,-5.27715564711143e+00°)
1.15087987467431e+03	(-7.39317459249563e-01dB,-6.09223553798929e+00°)
1.17768731071117e+03	(-7.50056614171661e-01dB,-6.90893425180178e+00°)
1.20511917214871e+03	(-7.62180871332279e-01dB,-7.72745566808150e+00°)
1.23319000372296e+03	(-7.75704756716695e-01dB,-8.54799935528786e+00°)
1.26191468896038e+03	(-7.90644316656711e-01dB,-9.37076006699053e+00°)
1.29130845806930e+03	(-8.07017086765224e-01dB,-1.01959272403906e+01°)
1.32138689601518e+03	(-8.24842057249444e-01dB,-1.10236844979305e+01°)
1.35216595078396e+03	(-8.44139634479498e-01dB,-1.18542091528850e+01°)
1.38366194183787e+03	(-8.64931598688504e-01dB,-1.26876717199789e+01°)
1.41589156876827e+03	(-8.87241057682438e-01dB,-1.35242354322317e+01°)
1.44887192014997e+03	(-9.11092396443307e-01dB,-1.43640557653992e+01°)
1.48262048260183e+03	(-9.36511222517287e-01dB,-1.52072799715426e+01°)
1.51715515005836e+03	(-9.63524307091705e-01dB,-1.60540466234324e+01°)
1.55249423325737e+03	(-9.92159521679141e-01dB,-1.69044851716553e+01°)
1.58865646944855e+03	(-1.02244577034669e+00dB,-1.77587155164632e+01°)
1.62566103232819e+03	(-1.05441291745014e+00dB,-1.86168475965576e+01°)
1.66352754220533e+03	(-1.08809171085958e+00dB,-1.94789809971547e+01°)
1.70227607640474e+03	(-1.12351370069275e+00dB,-2.03452045798099e+01°)
1.74192717991215e+03	(-1.16071115360615e+00dB,-2.12155961366047e+01°)
1.78250187626748e+03	(-1.19971696273081e+00dB,-2.20902220713976e+01°)
1.82402167871181e+03	(-1.24056455338056e+00dB,-2.29691371109211e+01°)
1.86650860159397e+03	(-1.28328778470350e+00dB,-2.38523840485574e+01°)
1.90998517204286e+03	(-1.32792084749412e+00dB,-2.47399935236518e+01°)
1.95447444191161e+03	(-1.37449815843118e+00dB,-2.56319838392087e+01°)
1.99999999999999e+03	(-1.42305425105733e+00dB,-2.65283608207731e+01°)
2.04658598456150e+03	(-1.47362366386681e+00dB,-2.74291177192149e+01°)
2.09425709610179e+03	(-1.52624082591991e+00dB,-2.83342351600089e+01°)
2.14303861047520e+03	(-1.58093994045364e+00dB,-2.92436811414362e+01°)
2.19295639228636e+03	(-1.63775486700859e+00dB,-3.01574110839234e+01°)
2.24403690860391e+03	(-1.69671900263992e+00dB,-3.10753679324802e+01°)
2.29630724299375e+03	(-1.75786516282606e+00dB,-3.19974823138986e+01°)
2.34979510987904e+03	(-1.82122546272993e+00dB,-3.29236727500368e+01°)
2.40452886923481e+03	(-1.88683119950473e+00dB,-3.38538459281293e+01°)
2.46053754162475e+03	(-1.95471273636705e+00dB,-3.47878970286460e+01°)
2.51785082358832e+03	(-2.02489938918553e+00dB,-3.57257101107723e+01°)
2.57649910338625e+03	(-2.09741931635013e+00dB,-3.66671585550991e+01°)
2.63651347711280e+03	(-2.17229941269699e+00dB,-3.76121055626080e+01°)
2.69792576518329e+03	(-2.24956520826458e+00dB,-3.85604047085155e+01°)
2.76076852920575e+03	(-2.32924077264872e+00dB,-3.95119005490082e+01°)
2.82507508924549e+03	(-2.41134862570631e+00dB,-4.04664292783665e+01°)
2.89087954149184e+03	(-2.49590965533060e+00dB,-4.14238194334477e+01°)
2.95821677633639e+03	(-2.58294304298374e+00dB,-4.23838926419845e+01°)
3.02712249687240e+03	(-2.67246619762628e+00dB,-4.33464644106634e+01°)
3.09763323782494e+03	(-2.76449469862815e+00dB,-4.43113449484888e+01°)
3.16978638492220e+03	(-2.85904224818142e+00dB,-4.52783400205151e+01°)
3.24362019471784e+03	(-2.95612063366428e+00dB,-4.62472518266557e+01°)
3.31917381487510e+03	(-3.05573970032689e+00dB,-4.72178798999559e+01°)
3.39648730492346e+03	(-3.15790733458600e+00dB,-4.81900220184540e+01°)
3.47560165749873e+03	(-3.26262945812631e+00dB,-4.91634751245555e+01°)
3.55655882007782e+03	(-3.36991003291485e+00dB,-5.01380362457172e+01°)
3.63940171721994e+03	(-3.47975107714080e+00dB,-5.11135034101742e+01°)
3.72417427332571e+03	(-3.59215269199857e+00dB,-5.20896765514560e+01°)
3.81092143592647e+03	(-3.70711309913894e+00dB,-5.30663583955184e+01°)
3.89968919951606e+03	(-3.82462868852134e+00dB,-5.40433553244686e+01°)
3.99052462993773e+03	(-3.94469407631350e+00dB,-5.50204782110791e+01°)
4.08347588933903e+03	(-4.06730217240120e+00dB,-5.59975432185646e+01°)
4.17859226170805e+03	(-4.19244425699512e+00dB,-5.69743725604342e+01°)
4.27592417900443e+03	(-4.32011006575112e+00dB,-5.79507952156145e+01°)
4.37552324789907e+03	(-4.45028788275913e+00dB,-5.89266475944745e+01°)
4.47744227713665e+03	(-4.58296464070183e+00dB,-5.99017741518479e+01°)
4.58173530553551e+03	(-4.71812602744027e+00dB,-6.08760279436403e+01°)
4.68845763063981e+03	(-4.85575659824754e+00dB,-6.18492711241298e+01°)
4.79766583803895e+03	(-4.99583989288627e+00dB,-6.28213753815888e+01°)
4.90941783137002e+03	(-5.13835855670832e+00dB,-6.37922223103889e+01°)
5.02377286301912e+03	(-5.28329446494730e+00dB,-6.47617037182744e+01°)
5.14079156553769e+03	(-5.43062884937523e+00dB,-6.57297218680050e+01°)
5.26053598379072e+03	(-5.58034242650314e+00dB,-6.66961896530641e+01°)
5.38306960785379e+03	(-5.73241552652125e+00dB,-6.76610307076035e+01°)
5.50845740667629e+03	(-5.88682822219738e+00dB,-6.86241794512399e+01°)
5.63676586252886e+03	(-6.04356045697975e+00dB,-6.95855810697301e+01°)
5.76806300625317e+03	(-6.20259217158434e+00dB,-7.05451914329316e+01°)
